id,URL,Feels Like,Wind Speed,Humidity,Dew Point,Visibility,Probability of Precipitation
1,https://www.timeanddate.com/weather/ghana/accra,30 °C,16 km/h,81%,23 °C,9 km,32%
2,https://www.timeanddate.com/weather/ireland/dublin,14 °C,15 km/h,93%,13 °C,5 km,27%
3,https://www.timeanddate.com/weather/kenya/nairobi,26 °C,6 km/h,40%,11 °C,11 km,3%
4,https://www.timeanddate.com/weather/ethiopia/addis-ababa,20 °C,29 km/h,55%,10 °C,12 km,31%
5,https://www.timeanddate.com/weather/canada/edmonton,7 °C,12 km/h,77%,5 °C,11 km,0%
6,https://www.timeanddate.com/weather/bahamas/nassau,31 °C,7 km/h,78%,24 °C,13 km,0%
7,https://www.timeanddate.com/weather/australia/adelaide,12 °C,5 km/h,93%,11 °C,10 km,0%
8,https://www.timeanddate.com/weather/germany/frankfurt,25 °C,5 km/h,57%,15 °C,14 km,0%
9,https://www.timeanddate.com/weather/india/new-delhi,42 °C,9 km/h,56%,24 °C,13 km,5%
10,https://www.timeanddate.com/weather/algeria/algiers,24 °C,7 km/h,76%,19 °C,11 km,2%
11,https://www.timeanddate.com/weather/guatemala/guatemala,17 °C,1 km/h,87%,15 °C,5 km,50%
12,https://www.timeanddate.com/weather/usa/new-orleans,25 °C,6 km/h,90%,23 °C,11 km,0%
13,https://www.timeanddate.com/weather/kazakstan/almaty,25 °C,2 km/h,41%,10 °C,11 km,0%
14,https://www.timeanddate.com/weather/canada/halifax,11 °C,22 km/h,81%,10 °C,12 km,0%
15,https://www.timeanddate.com/weather/usa/new-york,18 °C,15 km/h,67%,12 °C,14 km,0%
16,https://www.timeanddate.com/weather/jordan/amman,26 °C,29 km/h,48%,14 °C,13 km,23%
17,https://www.timeanddate.com/weather/vietnam/hanoi,28 °C,14 km/h,82%,23 °C,6 km,75%
18,https://www.timeanddate.com/weather/norway/oslo,16 °C,12 km/h,70%,10 °C,13 km,10%
19,https://www.timeanddate.com/weather/netherlands/amsterdam,25 °C,9 km/h,58%,14 °C,13 km,0%
20,https://www.timeanddate.com/weather/zimbabwe/harare,26 °C,16 km/h,37%,10 °C,11 km,0%
21,https://www.timeanddate.com/weather/canada/ottawa,16 °C,11 km/h,80%,12 °C,11 km,0%
22,https://www.timeanddate.com/weather/russia/anadyr,6 °C,2 km/h,84%,4 °C,10 km,0%
23,https://www.timeanddate.com/weather/cuba/havana,29 °C,8 km/h,84%,23 °C,11 km,28%
24,https://www.timeanddate.com/weather/france/paris,20 °C,11 km/h,76%,15 °C,10 km,40%
25,https://www.timeanddate.com/weather/usa/anchorage,4 °C,6 km/h,79%,2 °C,11 km,0%
26,https://www.timeanddate.com/weather/finland/helsinki,10 °C,4 km/h,52%,1 °C,12 km,0%
27,https://www.timeanddate.com/weather/australia/perth,16 °C,18 km/h,73%,11 °C,11 km,0%
28,https://www.timeanddate.com/weather/turkey/ankara,19 °C,7 km/h,49%,8 °C,12 km,22%
29,https://www.timeanddate.com/weather/hong-kong/hong-kong,25 °C,30 km/h,77%,20 °C,11 km,22%
30,https://www.timeanddate.com/weather/usa/philadelphia,19 °C,10 km/h,71%,14 °C,13 km,5%
31,https://www.timeanddate.com/weather/madagascar/antananarivo,28 °C,4 km/h,29%,9 °C,11 km,0%
32,https://www.timeanddate.com/weather/usa/honolulu,25 °C,22 km/h,75%,20 °C,10 km,45%
33,https://www.timeanddate.com/weather/usa/phoenix,25 °C,1 km/h,30%,6 °C,12 km,0%
34,https://www.timeanddate.com/weather/paraguay/asuncion,34 °C,21 km/h,52%,20 °C,12 km,0%
35,https://www.timeanddate.com/weather/usa/houston,28 °C,8 km/h,85%,23 °C,11 km,0%
36,https://www.timeanddate.com/weather/czech-republic/prague,25 °C,7 km/h,51%,11 °C,14 km,0%
37,https://www.timeanddate.com/weather/greece/athens,26 °C,19 km/h,30%,8 °C,14 km,0%
38,https://www.timeanddate.com/weather/usa/indianapolis,20 °C,4 km/h,78%,16 °C,11 km,28%
39,https://www.timeanddate.com/weather/iceland/reykjavik,6 °C,5 km/h,89%,5 °C,10 km,5%
40,https://www.timeanddate.com/weather/usa/atlanta,24 °C,7 km/h,75%,18 °C,13 km,0%
41,https://www.timeanddate.com/weather/pakistan/islamabad,36 °C,6 km/h,45%,20 °C,13 km,0%
42,https://www.timeanddate.com/weather/brazil/rio-de-janeiro,25 °C,2 km/h,78%,21 °C,11 km,0%
43,https://www.timeanddate.com/weather/new-zealand/auckland,13 °C,9 km/h,89%,12 °C,5 km,24%
44,https://www.timeanddate.com/weather/turkey/istanbul,26 °C,23 km/h,44%,12 °C,13 km,0%
45,https://www.timeanddate.com/weather/saudi-arabia/riyadh,38 °C,7 km/h,14%,7 °C,12 km,0%
46,https://www.timeanddate.com/weather/iraq/baghdad,38 °C,13 km/h,13%,7 °C,12 km,0%
47,https://www.timeanddate.com/weather/indonesia/jakarta,38 °C,19 km/h,59%,23 °C,10 km,0%
48,https://www.timeanddate.com/weather/italy/rome,26 °C,11 km/h,56%,15 °C,14 km,0%
49,https://www.timeanddate.com/weather/thailand/bangkok,35 °C,14 km/h,70%,24 °C,9 km,57%
50,https://www.timeanddate.com/weather/israel/jerusalem,26 °C,43 km/h,51%,14 °C,12 km,0%
51,https://www.timeanddate.com/weather/usa/salt-lake-city,15 °C,5 km/h,57%,6 °C,12 km,0%
52,https://www.timeanddate.com/weather/spain/barcelona,23 °C,6 km/h,77%,18 °C,7 km,53%
53,https://www.timeanddate.com/weather/south-africa/johannesburg,13 °C,9 km/h,55%,4 °C,12 km,0%
54,https://www.timeanddate.com/weather/usa/san-francisco,14 °C,6 km/h,89%,12 °C,6 km,0%
55,https://www.timeanddate.com/weather/china/beijing,15 °C,6 km/h,61%,7 °C,14 km,0%
56,https://www.timeanddate.com/weather/pakistan/karachi,35 °C,26 km/h,62%,23 °C,12 km,0%
57,https://www.timeanddate.com/weather/puerto-rico/san-juan,34 °C,4 km/h,75%,24 °C,12 km,1%
58,https://www.timeanddate.com/weather/lebanon/beirut,30 °C,26 km/h,57%,19 °C,7 km,20%
59,https://www.timeanddate.com/weather/nepal/kathmandu,32 °C,4 km/h,57%,20 °C,11 km,5%
60,https://www.timeanddate.com/weather/el-salvador/san-salvador,20 °C,6 km/h,93%,19 °C,7 km,20%
61,https://www.timeanddate.com/weather/serbia/belgrade,25 °C,8 km/h,29%,6 °C,14 km,0%
62,https://www.timeanddate.com/weather/jamaica/kingston,30 °C,1 km/h,76%,23 °C,6 km,57%
63,https://www.timeanddate.com/weather/chile/santiago,8 °C,3 km/h,78%,5 °C,5 km,22%
64,https://www.timeanddate.com/weather/india/bengaluru,28 °C,15 km/h,59%,18 °C,11 km,22%
65,https://www.timeanddate.com/weather/congo-demrep/kinshasa,28 °C,9 km/h,73%,21 °C,11 km,1%
66,https://www.timeanddate.com/weather/dominican-republic/santo-domingo,31 °C,2 km/h,81%,24 °C,12 km,2%
67,https://www.timeanddate.com/weather/germany/berlin,25 °C,15 km/h,38%,9 °C,15 km,0%
68,https://www.timeanddate.com/weather/kiribati/kiritimati,27 °C,18 km/h,82%,22 °C,11 km,10%
69,https://www.timeanddate.com/weather/brazil/sao-paulo,23 °C,5 km/h,77%,18 °C,12 km,0%
70,https://www.timeanddate.com/weather/colombia/bogota,8 °C,8 km/h,93%,8 °C,9 km,0%
71,https://www.timeanddate.com/weather/india/kolkata,46 °C,8 km/h,58%,26 °C,11 km,0%
72,https://www.timeanddate.com/weather/usa/seattle,12 °C,2 km/h,86%,9 °C,9 km,0%
73,https://www.timeanddate.com/weather/usa/boston,17 °C,21 km/h,79%,13 °C,11 km,3%
74,https://www.timeanddate.com/weather/malaysia/kuala-lumpur,34 °C,4 km/h,69%,23 °C,10 km,30%
75,https://www.timeanddate.com/weather/south-korea/seoul,19 °C,13 km/h,74%,14 °C,13 km,16%
76,https://www.timeanddate.com/weather/brazil/brasilia,26 °C,18 km/h,36%,9 °C,12 km,0%
77,https://www.timeanddate.com/weather/kuwait/kuwait-city,39 °C,14 km/h,27%,16 °C,12 km,0%
78,https://www.timeanddate.com/weather/china/shanghai,24 °C,13 km/h,66%,15 °C,14 km,0%
79,https://www.timeanddate.com/weather/australia/brisbane,18 °C,3 km/h,77%,14 °C,12 km,0%
80,https://www.timeanddate.com/weather/ukraine/kyiv,26 °C,9 km/h,38%,10 °C,14 km,0%
81,https://www.timeanddate.com/weather/singapore/singapore,32 °C,4 km/h,82%,24 °C,10 km,60%
82,https://www.timeanddate.com/weather/belgium/brussels,20 °C,13 km/h,70%,15 °C,11 km,3%
83,https://www.timeanddate.com/weather/bolivia/la-paz,10 °C,4 km/h,39%,-3 °C,13 km,0%
84,https://www.timeanddate.com/weather/bulgaria/sofia,25 °C,9 km/h,42%,8 °C,12 km,0%
85,https://www.timeanddate.com/weather/romania/bucharest,26 °C,2 km/h,39%,10 °C,14 km,0%
86,https://www.timeanddate.com/weather/nigeria/lagos,28 °C,6 km/h,87%,24 °C,6 km,35%
87,https://www.timeanddate.com/weather/canada/st-johns,8 °C,24 km/h,89%,9 °C,8 km,1%
88,https://www.timeanddate.com/weather/hungary/budapest,25 °C,6 km/h,28%,5 °C,15 km,0%
89,https://www.timeanddate.com/weather/pakistan/lahore,43 °C,7 km/h,46%,23 °C,13 km,0%
90,https://www.timeanddate.com/weather/sweden/stockholm,15 °C,12 km/h,59%,7 °C,14 km,0%
91,https://www.timeanddate.com/weather/argentina/buenos-aires,19 °C,15 km/h,83%,16 °C,8 km,27%
92,https://www.timeanddate.com/weather/usa/las-vegas,25 °C,2 km/h,28%,4 °C,11 km,0%
93,https://www.timeanddate.com/weather/fiji/suva,25 °C,11 km/h,84%,21 °C,7 km,30%
94,https://www.timeanddate.com/weather/egypt/cairo,32 °C,20 km/h,36%,15 °C,15 km,0%
95,https://www.timeanddate.com/weather/peru/lima,15 °C,7 km/h,91%,13 °C,9 km,1%
96,https://www.timeanddate.com/weather/australia/sydney,18 °C,5 km/h,49%,7 °C,12 km,0%
97,https://www.timeanddate.com/weather/canada/calgary,5 °C,10 km/h,77%,3 °C,12 km,0%
98,https://www.timeanddate.com/weather/portugal/lisbon,17 °C,3 km/h,83%,14 °C,11 km,0%
99,https://www.timeanddate.com/weather/taiwan/taipei,27 °C,9 km/h,89%,24 °C,2 km,65%
100,https://www.timeanddate.com/weather/australia/canberra,8 °C,4 km/h,70%,3 °C,11 km,0%
101,https://www.timeanddate.com/weather/uk/london,16 °C,13 km/h,95%,16 °C,6 km,69%
102,https://www.timeanddate.com/weather/estonia/tallinn,11 °C,7 km/h,52%,2 °C,12 km,0%
103,https://www.timeanddate.com/weather/south-africa/cape-town,25 °C,9 km/h,48%,10 °C,13 km,0%
104,https://www.timeanddate.com/weather/usa/los-angeles,17 °C,5 km/h,85%,14 °C,10 km,0%
105,https://www.timeanddate.com/weather/uzbekistan/tashkent,27 °C,13 km/h,24%,6 °C,11 km,0%
106,https://www.timeanddate.com/weather/venezuela/caracas,28 °C,5 km/h,71%,21 °C,12 km,0%
107,https://www.timeanddate.com/weather/spain/madrid,21 °C,21 km/h,56%,12 °C,13 km,2%
108,https://www.timeanddate.com/weather/honduras/tegucigalpa,20 °C,2 km/h,89%,18 °C,7 km,3%
109,https://www.timeanddate.com/weather/morocco/casablanca,23 °C,5 km/h,78%,18 °C,11 km,0%
110,https://www.timeanddate.com/weather/nicaragua/managua,24 °C,10 km/h,91%,23 °C,9 km,64%
111,https://www.timeanddate.com/weather/iran/tehran,30 °C,11 km/h,14%,1 °C,12 km,0%
112,https://www.timeanddate.com/weather/usa/chicago,25 °C,9 km/h,61%,15 °C,11 km,4%
113,https://www.timeanddate.com/weather/philippines/manila,31 °C,7 km/h,85%,25 °C,9 km,20%
114,https://www.timeanddate.com/weather/japan/tokyo,28 °C,20 km/h,81%,23 °C,10 km,26%
115,https://www.timeanddate.com/weather/denmark/copenhagen,20 °C,15 km/h,55%,11 °C,13 km,0%
116,https://www.timeanddate.com/weather/australia/melbourne,13 °C,11 km/h,68%,8 °C,12 km,0%
117,https://www.timeanddate.com/weather/canada/toronto,20 °C,7 km/h,88%,18 °C,11 km,0%
118,https://www.timeanddate.com/weather/usa/dallas,28 °C,18 km/h,68%,20 °C,12 km,0%
119,https://www.timeanddate.com/weather/mexico/mexico-city,17 °C,3 km/h,79%,13 °C,7 km,16%
120,https://www.timeanddate.com/weather/canada/vancouver,13 °C,5 km/h,85%,10 °C,9 km,0%
121,https://www.timeanddate.com/weather/tanzania/dar-es-salaam,32 °C,26 km/h,49%,19 °C,14 km,0%
122,https://www.timeanddate.com/weather/usa/miami,30 °C,6 km/h,79%,23 °C,13 km,5%
123,https://www.timeanddate.com/weather/austria/vienna,25 °C,20 km/h,47%,11 °C,15 km,0%
124,https://www.timeanddate.com/weather/australia/darwin,32 °C,12 km/h,70%,23 °C,11 km,0%
125,https://www.timeanddate.com/weather/usa/minneapolis,13 °C,17 km/h,67%,8 °C,12 km,0%
126,https://www.timeanddate.com/weather/poland/warsaw,25 °C,7 km/h,44%,11 °C,14 km,0%
127,https://www.timeanddate.com/weather/usa/denver,9 °C,5 km/h,80%,6 °C,8 km,70%
128,https://www.timeanddate.com/weather/belarus/minsk,20 °C,6 km/h,52%,10 °C,14 km,0%
129,https://www.timeanddate.com/weather/usa/washington-dc,20 °C,11 km/h,91%,18 °C,9 km,14%
130,https://www.timeanddate.com/weather/usa/detroit,19 °C,8 km/h,82%,16 °C,10 km,0%
131,https://www.timeanddate.com/weather/uruguay/montevideo,19 °C,23 km/h,81%,16 °C,8 km,0%
132,https://www.timeanddate.com/weather/canada/winnipeg,8 °C,8 km/h,87%,7 °C,11 km,0%
133,https://www.timeanddate.com/weather/bangladesh/dhaka,48 °C,10 km/h,56%,26 °C,11 km,0%
134,https://www.timeanddate.com/weather/canada/montreal,16 °C,8 km/h,77%,12 °C,12 km,0%
135,https://www.timeanddate.com/weather/myanmar/yangon,34 °C,17 km/h,86%,26 °C,6 km,32%
136,https://www.timeanddate.com/weather/qatar/doha,40 °C,14 km/h,35%,19 °C,11 km,0%
137,https://www.timeanddate.com/weather/russia/moscow,14 °C,12 km/h,35%,-1 °C,15 km,0%
138,https://www.timeanddate.com/weather/croatia/zagreb,25 °C,6 km/h,46%,10 °C,14 km,0%
139,https://www.timeanddate.com/weather/united-arab-emirates/dubai,43 °C,17 km/h,46%,23 °C,9 km,0%
140,https://www.timeanddate.com/weather/india/mumbai,36 °C,21 km/h,78%,25 °C,10 km,30%
141,https://www.timeanddate.com/weather/switzerland/zurich,20 °C,3 km/h,61%,12 °C,12 km,0%
